slug,name,summary,description,version,size_in_bytes,platforms,categories,type,website_url,download_url,is_featured,is_trending,release_date,developer_name,developer_website,developer_contact,features,media_logo_url,media_hero_image,media_gallery,requirements_minimum,requirements_recommended,changelog,json_stats_downloads,json_stats_views,json_stats_rating,json_stats_votes
google-chrome,Google Chrome,"Fast, secure, and widely adopted web browser","Google Chrome delivers a streamlined browsing experience with powerful developer tooling, automatic updates, synchronized profiles, and advanced phishing protection. Its V8 engine renders modern web applications efficiently while extensions and policies keep enterprise environments governed across devices.",123.0,125829120,windows|mac|linux|android|ios,software|utilities,free,https://www.google.com/chrome,https://dl.google.com/chrome/install/latest/chrome_installer.exe,true,true,2024-09-10,Google,https://www.google.com,chrome-support@google.com,Sandbox security|Sync across devices|Extension ecosystem|Built-in PDF viewer|Developer tools,https://www.google.com/chrome/static/images/chrome-logo.svg,https://images.unsplash.com/photo-1451187580459-43490279c0fa?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1517433456452-f9633a875f6f?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|Hardware acceleration,"[{""version"":""123.0"",""date"":""2024-09-10"",""highlights"":""Memory saver, Phishing alerts""}]",5000000,12000000,4.6,450000
mozilla-firefox,Mozilla Firefox,"Open-source browser focused on privacy","Mozilla Firefox balances cutting-edge performance with strong privacy defaults, enhanced tracking protection, and extensive customization. It empowers users to audit permissions, isolate sites into containers, and leverage developer tools to debug complex web experiences in real time.",119.0,104857600,windows|mac|linux|android|ios,software|utilities,free,https://www.mozilla.org/firefox,https://download.mozilla.org/?product=firefox-latest-ssl&os=win&lang=en-US,false,true,2024-08-20,Mozilla Foundation,https://www.mozilla.org,firefox-support@mozilla.org,Enhanced tracking protection|Container tabs|Pocket integration|Developer tools|Sync,https://www.mozilla.org/media/protocol/img/logos/firefox/browser/logo-lg-h.5f28b4d3c6e4.svg,https://images.unsplash.com/photo-1451187580459-43490279c0fa?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1483478550801-ceba5fe50e8e?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1556157382-97eda2d62296?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|GPU acceleration,"[{""version"":""119.0"",""date"":""2024-08-20"",""highlights"":""Privacy reports, Faster WebRender""}]",1800000,6200000,4.7,210000
microsoft-edge,Microsoft Edge,"Chromium-based browser with Microsoft integrations","Microsoft Edge combines Chromium speed with enterprise-grade security, shopping assistants, and deep integrations with Microsoft 365. Collections, vertical tabs, and responsive reading experiences help users research, compare, and share content across devices effortlessly.",118.0,131072000,windows|mac|linux|android|ios,software|utilities,free,https://www.microsoft.com/edge,https://msedge.sf.dl.delivery.mp.microsoft.com/filestreamingservice/files/latest,true,false,2024-09-01,Microsoft,https://www.microsoft.com,edge-support@microsoft.com,Vertical tabs|Collections|Smart shopping|Password monitor|Immersive reader,https://upload.wikimedia.org/wikipedia/commons/9/98/Microsoft_Edge_logo_%282019%29.svg,https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1474631245212-32dc3c8310c6?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|Microsoft account,"[{""version"":""118.0"",""date"":""2024-09-01"",""highlights"":""AI sidebar, Workspace sharing""}]",2400000,7800000,4.5,320000
brave-browser,Brave Browser,"Privacy-first Chromium browser with native blocking","Brave Browser blocks trackers and intrusive ads by default, rewarding creators through Brave Rewards while keeping browsing fast and private. Integrated Tor windows, playlist features, and wallet capabilities give users a modern alternative to traditional browsers.",1.68,94371840,windows|mac|linux|android|ios,software|utilities,free,https://brave.com,https://updates.bravesoftware.com/latest/winx64,false,true,2024-07-15,Brave Software,https://brave.com,privacy@brave.com,Ad blocking|Tracker protection|Brave Rewards|Tor windows|Crypto wallet,https://brave.com/static-assets/images/brave-logo.svg,https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1517433456452-f9633a875f6f?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1525182008055-f88b95ff7980?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|Hardware acceleration,"[{""version"":""1.68"",""date"":""2024-07-15"",""highlights"":""Playlist, AI summarizer""}]",950000,3200000,4.6,98000
opera-browser,Opera Browser,"Feature-rich browser with workspace organization","Opera Browser offers a built-in VPN, workspace organization, and integrated messengers that streamline multitasking. Pinboards, AI prompts, and modular start pages help users collect inspiration, collaborate, and browse securely without additional extensions.",110.0,117440512,windows|mac|linux|android|ios,software|utilities,free,https://www.opera.com,https://download.opera.com/download/get/?partner=www&opsys=Windows,false,false,2024-08-05,Opera Software,https://www.opera.com,help@opera.com,Built-in VPN|Workspaces|Integrated messengers|Pinboards|AI prompts,https://www.opera.com/themes/opera/favicon/favicon-196x196.png,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1487058792275-0ad4aaf24ca7?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1461749280684-dccba630e2f6?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|GPU acceleration,"[{""version"":""110.0"",""date"":""2024-08-05"",""highlights"":""AI prompts, Pinboards""}]",870000,2500000,4.4,76000
libreoffice-suite,LibreOffice Suite,"Open-source office suite for documents and spreadsheets","LibreOffice Suite delivers Writer, Calc, Impress, and more in a familiar interface with advanced styles, macro scripting, and compatibility with Microsoft Office formats. Teams produce professional documents offline while organizations customize deployments freely.",24.2,321912832,windows|mac|linux,software|productivity,open-source,https://www.libreoffice.org,https://download.documentfoundation.org/libreoffice/stable/24.2.0/win/x86_64/LibreOffice_24.2.0_Win_x64.msi,true,false,2024-02-08,The Document Foundation,https://www.documentfoundation.org,info@documentfoundation.org,Writer|Calc|Impress|Draw|Base,https://www.libreoffice.org/assets/Branding/Logo/LibreOffice_Initial-Artwork-Base.svg,https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1523476893152-5e0d7d17c1d2?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|Java Runtime,"[{""version"":""24.2"",""date"":""2024-02-08"",""highlights"":""Dark mode, Improved DOCX""}]",540000,1800000,4.5,120000
onlyoffice-desktop,ONLYOFFICE Desktop Editors,"Collaborative office editors with cloud integrations","ONLYOFFICE Desktop Editors تدعم DOCX و XLSX و PPTX مع محررات تعاونية، ميزات تتبع التغييرات، وتكاملات سحابية مع Nextcloud و ownCloud. يمكن للشركات إدارة المستندات بأمان مع الحفاظ على التوافق الكامل مع Microsoft 365.",8.0,298844160,windows|mac|linux,software|productivity,freemium,https://www.onlyoffice.com,https://download.onlyoffice.com/install/desktop/editors/windows/onlyoffice.exe,false,false,2024-06-12,Ascensio System,https://www.onlyoffice.com,support@onlyoffice.com,Real-time coediting|Cloud integration|Track changes|Document protection|Plugin marketplace,https://static-www.onlyoffice.com/images/new-logo/onlyoffice-logo.svg,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1474631245212-32dc3c8310c6?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|Nextcloud plugin,"[{""version"":""8.0"",""date"":""2024-06-12"",""highlights"":""Forms editor, AI assistant""}]",310000,940000,4.4,54000
wps-office,WPS Office,"Lightweight office suite with cloud templates","WPS Office يجمع Writer و Spreadsheets و Presentation مع مكتبة قوالب سحابية، دعم PDF، وأدوات توقيع إلكتروني. يمكن للمستخدمين التبديل بين التخطيطات، مشاركة الملاحظات، وفتح الملفات الكبيرة على أجهزة ضعيفة الموارد بسهولة.",12.1,245366784,windows|mac|linux|android|ios,software|productivity,freemium,https://www.wps.com,https://wdl1.pcfg.cache.wpscdn.com/wpsdl/wpsoffice/download/12.1.0.15381/WPSOffice_12.1.0.15381_office_auto.exe,false,false,2024-05-18,Kingsoft Office,https://www.wps.com,global@wps.com,Writer|Spreadsheets|Presentation|PDF editor|Cloud templates,https://is1-ssl.mzstatic.com/image/thumb/Purple126/v4/7e/4e/72/7e4e720e-2c01-0633-4cdc-0700122972ee/AppIcon-0-1x_U007euniversal-0-85-220.png/1200x630wa.png,https://images.unsplash.com/photo-1523476893152-5e0d7d17c1d2?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1483478550801-ceba5fe50e8e?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|WPS account,"[{""version"":""12.1"",""date"":""2024-05-18"",""highlights"":""E-signature, Template hub""}]",680000,2100000,4.3,89000
apache-openoffice,Apache OpenOffice,"Community-driven office suite","Apache OpenOffice يوفر أدوات Writer و Calc و Impress مع قابلية التمدد عبر الإضافات ومخططات التوافق مع صيغ OpenDocument. تعتمد عليه منظمات غير ربحية وشركات صغيرة لإنشاء مستندات احترافية دون تكاليف ترخيص مرتفعة.",4.1.15,214958080,windows|mac|linux,software|productivity,open-source,https://www.openoffice.org,https://downloads.apache.org/openoffice/4.1.15/binaries/en-US/Apache_OpenOffice_4.1.15_Win_x86_install_en-US.exe,false,false,2023-12-12,Apache Software Foundation,https://www.apache.org,users@openoffice.apache.org,Writer|Calc|Impress|Draw|Math,https://www.openoffice.org/images/AOO_logos/100dpi/aoo4.png,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1515879218367-8466d910aaa4?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|Java Runtime,"[{""version"":""4.1.15"",""date"":""2023-12-12"",""highlights"":""Security updates, Template fixes""}]",410000,1250000,4.1,67000
softmaker-office,SoftMaker Office,"Commercial-grade office suite with perpetual licensing","SoftMaker Office يقدم TextMaker و PlanMaker و Presentations مع توافق تام مع DOCX و XLSX و PPTX، دعم واجهات متعددة، ولوحة بحث في القواميس. يمكن للمستخدمين شراء ترخيص دائم أو الاشتراك للوصول إلى تحديثات مستمرة وخيارات تعاون جديدة.",2024.0,196608000,windows|mac|linux,software|productivity,paid,https://www.softmaker.com,https://cdn.softmaker.de/download/softmaker-office-2024.msi,true,false,2024-03-25,SoftMaker Software,https://www.softmaker.com,service@softmaker.de,TextMaker|PlanMaker|Presentations|Perpetual license|Language tools,https://www.softmaker.com/images/icons/softmaker-office-2021.png,https://images.unsplash.com/photo-1474631245212-32dc3c8310c6?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1523476893152-5e0d7d17c1d2?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,Windows 10|4GB RAM,Windows 11|8GB RAM|SoftMaker account,"[{""version"":""2024.0"",""date"":""2024-03-25"",""highlights"":""Improved collaboration, Language packs""}]",220000,780000,4.2,43000
